epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,39.8319,0.55592,0.89869,1.0512,0.91424,0.55161,0.85824,0.66934,1.41244,1.37567,1.33697,1.11965e-05,1.11965e-05,1.11965e-05
40,40.425,0.47401,0.71662,0.86952,0.91424,0.55161,0.85824,0.66934,1.41244,1.37567,1.33697,1.05722e-05,1.05722e-05,1.05722e-05
41,41.5567,0.64929,0.71598,1.02501,0.91293,0.55133,0.85715,0.67008,1.38998,1.37924,1.32617,9.9008e-06,9.9008e-06,9.9008e-06
42,42.1651,0.59517,0.63558,0.9847,0.91293,0.55133,0.85715,0.67008,1.38998,1.37924,1.32617,9.18228e-06,9.18228e-06,9.18228e-06
43,42.9395,0.71302,0.69554,1.08861,0.9136,0.55126,0.85589,0.66991,1.371,1.38713,1.31661,8.41663e-06,8.41663e-06,8.41663e-06
44,43.5695,0.53622,0.74157,0.81631,0.9136,0.55126,0.85589,0.66991,1.371,1.38713,1.31661,7.60386e-06,7.60386e-06,7.60386e-06
45,44.1907,0.61871,0.66826,1.01462,0.91237,0.55072,0.854,0.64306,1.371,1.4259,1.32184,6.74397e-06,6.74397e-06,6.74397e-06
46,44.7682,0.57521,0.78613,1.01099,0.91237,0.55072,0.854,0.64306,1.371,1.4259,1.32184,5.83695e-06,5.83695e-06,5.83695e-06
47,45.4024,0.49799,0.64693,0.93448,0.97462,0.5229,0.76897,0.57677,1.38,1.44932,1.33106,4.88281e-06,4.88281e-06,4.88281e-06
48,46.0081,0.54395,0.71906,0.86118,0.97462,0.5229,0.76897,0.57677,1.38,1.44932,1.33106,3.88154e-06,3.88154e-06,3.88154e-06
49,46.6788,0.54448,0.60853,0.97862,0.97397,0.52282,0.76003,0.57238,1.37973,1.51406,1.33664,2.83315e-06,2.83315e-06,2.83315e-06
50,50.1949,0.89409,1.03194,1.19301,0.97397,0.52282,0.76003,0.57238,1.37973,1.51406,1.33664,1.73764e-06,1.73764e-06,1.73764e-06
